metric;mean;q1;median;q3;std_dev;min;max
network_out;37611.925925925934;36921.5;46816;47801;17329.113674837947;0;49772
cpu_usage;45.24082073378643;42.85714340209961;44.88095235824585;47.619049072265625;12.540398725712372;0;90
disk_used;6316256397.3602705;6316732416;6316736512;6316736512;4018375.0558077404;6281863168;6316736512
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
disk_read;2899126.5925925933;0;0;86016;6913767.769488124;0;22669721
ram_used;152277571.23232326;152864768;154341376;157138944;12134344.597030602;86310912;169279488
disk_write;47124.48821548824;0;0;19250.5;119638.36024467394;0;721715
network_in;10415.390572390574;10516;12892;13163;4724.931623218075;0;13706
ram_total;492728320;492728320;492728320;492728320;0;492728320;492728320
