metric;mean;q1;median;q3;std_dev;min;max
ram_total;16779890688;16779890688;16779890688;16779890688;0;16779890688;16779890688
ram_used;614025076.6320642;587948032;627253248;641191936;43460835.882254;406671360;686276608
disk_write;58954549.653979294;9229926;60579020;91049164;47530760.90506125;0;194910617
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
disk_read;49863814.519031174;18245222;47711026.5;75209113;37864769.48892732;0;156369715
network_out;77179.74509803925;0;0;0;592575.587866531;0;5399552
cpu_usage;12.898794459052286;7.163901448249817;17.247937515378;18.452381432056427;7.284362956349449;0;23.99984347820282
network_in;618.658592848905;0;10;10;4660.19175231359;0;42834
disk_used;17857446986.408295;16716627968;18048903168;19264962560;1421213458.5113842;15240290304;19581825024
