metric;mean;q1;median;q3;std_dev;min;max
disk_write;17252.78100263851;0;0;6553;53586.63530263475;0;326860
network_out;26.999340369393146;0;0;0;76.00063792669172;0;453
disk_read;17441790.503957793;16852172.5;17781964.5;18481561.5;2129863.8569277935;1499136;22210969
ram_total;16779890688;16779890688;16779890688;16779890688;0;16779890688;16779890688
network_in;28.416886543535636;0;10;14;87.4991086562384;0;522
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
cpu_usage;6.071015125823669;5.952381134033203;6.25;6.25;0.6823915944050214;0;10.714285850524902
ram_used;2094422137.5831113;1257828352;2076438528;2929508352;970723275.9540923;430133248;3800473600
disk_used;8924726917.741407;8924745728;8924770304;8924770304;1244360.9981595916;8876298240;8924770304
