timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1740754952;3.75;4627599360;16779890688;6810976256;105597712384;355532;8192;1543;99851
1740754952;6.5625;4627849216;16779890688;6810976256;105597712384;460390;8192;4460;286282
1740754952;6.25;4627517440;16779890688;6810976256;105597712384;539033;8192;7102;464669
1740754952;5.952381134033203;4626853888;16779890688;6810976256;105597712384;643891;1638;9650;646885
1740754952;7.455357134342194;4627038208;16779890688;6810976256;105597712384;722534;1638;12312;825019
1740754953;6.25;4627365888;16779890688;6810976256;105597712384;471859;0;13387;902403
1740754953;6.25;4627550208;16779890688;6810976256;105597712384;445644;12288;13231;899353
1740754953;6.25;4627402752;16779890688;6810976256;105597712384;471859;12288;13044;899892
1740754953;6.25;4627558400;16779890688;6810976256;105597712384;445644;12288;13083;901557
1740754953;5.952381134033203;4627742720;16779890688;6810976256;105597712384;445644;12288;13186;904874
1740754954;6.25;4627341312;16779890688;6810976256;105597712384;445644;12288;13320;906025
1740754954;6.25;4627525632;16779890688;6810976256;105597712384;445644;0;13162;903528
1740754954;6.534090906381607;4627378176;16779890688;6810976256;105597712384;445644;367820;13281;906858
1740754954;6.5625;4627562496;16779890688;6810976256;105597712384;445644;367820;13466;903607
1740754954;6.25;4627369984;16779890688;6810976256;105597712384;498073;367820;13270;896129
1740754955;6.25;4627755008;16779890688;6810976256;105597712384;498073;367820;13228;904120
1740754955;6.25;4627939328;16779890688;6810976256;105597712384;498073;367820;13226;906339
1740754955;6.25;4627791872;16779890688;6810976256;105597712384;471859;0;13321;909129
1740754955;6.25;4627976192;16779890688;6810976256;105597712384;498073;0;13070;910754
1740754955;6.25;4627800064;16779890688;6810976256;105597712384;445644;0;13001;918206
1740754956;5.9375;4628090880;16779890688;6810976256;105597712384;445644;0;13030;916002
1740754956;6.5625;4628275200;16779890688;6810976256;105597712384;471859;0;12898;911826
1740754956;6.25;4628459520;16779890688;6810976256;105597712384;471859;0;12737;905706
1740754956;6.25;4628615168;16779890688;6810976256;105597712384;445644;0;12816;903235
1740754956;6.547619044780731;4629037056;16779890688;6810976256;105597712384;471859;0;13149;907410
1740754957;6.25;4629037056;16779890688;6810976256;105597712384;419430;0;13044;900791
1740754957;6.25;4629405696;16779890688;6810976256;105597712384;445644;0;13323;908575
1740754957;6.25;4628742144;16779890688;6810976256;105597712384;445644;0;13497;909700
1740754957;6.25;4629217280;16779890688;6810976256;105597712384;428441;0;13592;912464
1740754957;6.250000238418579;4629237760;16779890688;6810976256;105597712384;402227;0;13272;906598
1740754958;6.175595283508301;4628881408;16779890688;6810976256;105597712384;428441;0;13418;909095
1740754958;6.25;4629037056;16779890688;6810976256;105597712384;376012;0;13365;904933
1740754958;6.447368144989014;4628705280;16779890688;6810976256;105597712384;402227;9830;13244;907124
1740754958;6.25;4628889600;16779890688;6810976256;105597712384;419430;9830;13281;909368
1740754958;6.547619044780731;4628815872;16779890688;6810976256;105597712384;445644;9830;13590;913836
1740754959;6.25;4628668416;16779890688;6810976256;105597712384;471859;9830;13363;910214
1740754959;6.25;4628852736;16779890688;6810976256;105597712384;498073;9830;13545;909960
1740754959;6.25;4629037056;16779890688;6810976256;105597712384;471859;0;13693;907769
1740754959;9.821428656578064;4574785536;16779890688;6810976256;105597712384;471859;0;13510;898020
1740754959;6.547619044780731;4574453760;16779890688;6810976256;105597712384;471859;0;13310;896369
1740754960;6.25;4574793728;16779890688;6810976256;105597712384;445644;3276;13191;897162
1740754960;6.25;4574978048;16779890688;6810976256;105597712384;445644;3276;12795;895418
1740754960;9.931860983371736;1910255616;16779890688;6810976256;105597712384;471859;3276;12544;875440
1740754960;7.205513775348663;1112215552;16779890688;6810976256;105597712384;471859;3276;12660;872703
1740754960;6.1184210777282715;1112506368;16779890688;6810976256;105597712384;445644;3276;12780;868288
1740754961;6.25;1112690688;16779890688;6810976256;105597712384;445644;0;13167;871357
1740754961;7.797619044780731;1112887296;16779890688;6810976256;105597712384;445644;0;13431;867261
1740754961;5.952381134033203;1112223744;16779890688;6810976256;105597712384;445644;0;13550;886406
1740754961;6.25;1111891968;16779890688;6810976256;105597712384;439091;0;13497;898020
1740754961;8.080357193946838;1111719936;16779890688;6810976256;105597712384;412876;0;13352;894098
1740754962;6.25;1111330816;16779890688;6810976256;105597712384;412876;0;13122;894385
1740754962;6.25;1110999040;16779890688;6810976256;105597712384;386662;0;13149;896023
1740754962;6.577380836009979;1110507520;16779890688;6810976256;105597712384;386662;0;13450;901584
1740754962;6.547619044780731;1110175744;16779890688;6810976256;105597712384;393216;0;13701;901623
1740754962;7.455357134342194;1109647360;16779890688;6810976256;105597712384;445644;0;13794;903035
1740754963;6.25;1108983808;16779890688;6810976256;105597712384;498073;0;13741;904660
1740754963;6.25;1108652032;16779890688;6810976256;105597712384;498073;0;13611;909115
1740754963;6.25;1108320256;16779890688;6810976256;105597712384;498073;0;13321;906591
1740754963;7.767857134342194;1111175168;16779890688;6810976256;105597712384;498073;0;12882;899047
1740754963;6.25;1111359488;16779890688;6810976256;105597712384;498073;0;12671;904015
1740754964;6.25;1111543808;16779890688;6810976256;105597712384;419430;0;12645;899892
1740754964;6.25;1111699456;16779890688;6810976256;105597712384;445644;0;12590;902084
1740754964;6.25;1111552000;16779890688;6810976256;105597712384;445644;0;12629;903788
1740754964;7.574405074119568;1111736320;16779890688;6810976256;105597712384;471859;0;12988;915402
1740754964;6.25;1111789568;16779890688;6810976256;105597712384;445644;0;13094;924545
1740754965;6.25;1111973888;16779890688;6810976256;105597712384;471859;0;13556;938736
1740754965;6.25;1112158208;16779890688;6810976256;105597712384;471859;1638;13899;942950
1740754965;6.25;1112010752;16779890688;6810976256;105597712384;471859;1638;13807;938775
1740754965;6.25;1112076288;16779890688;6810976256;105597712384;419430;1638;13638;929119
1740754965;6.25;1111928832;16779890688;6810976256;105597712384;471040;1638;13661;911665
1740754966;6.25;1112424448;16779890688;6810976256;105597712384;444825;1638;13334;898586
1740754966;6.25;1112608768;16779890688;6810976256;105597712384;418611;0;13125;893013
1740754966;7.17261928319931;1112633344;16779890688;6810976256;105597712384;392396;0;13244;890489
1740754966;6.25;1112817664;16779890688;6810976256;105597712384;418611;0;13162;891082
1740754966;6.428571701049805;1112485888;16779890688;6810976256;105597712384;367001;0;12835;890236
1740754967;6.484962582588196;1112154112;16779890688;6810976256;105597712384;419430;0;12991;890009
1740754967;6.25;1112854528;16779890688;6810976256;105597712384;471859;0;12885;888344
1740754967;7.172619044780731;1112453120;16779890688;6810976256;105597712384;471859;0;12795;887805
1740754967;6.25;1112121344;16779890688;6810976256;105597712384;471859;0;12822;892720
1740754967;6.25;1111457792;16779890688;6810976256;105597712384;471859;0;13129;903554
1740754968;6.547619044780731;1111613440;16779890688;6810976256;105597712384;471859;0;12905;904347
1740754968;6.25;1111281664;16779890688;6810976256;105597712384;419430;0;12942;908256
1740754968;9.017857074737549;1111044096;16779890688;6810976256;105597712384;445644;0;13072;907144
1740754968;6.25;1111228416;16779890688;6810976256;105597712384;445644;0;13153;897488
1740754968;6.25;1111412736;16779890688;6810976256;105597712384;471859;0;13097;894158
1740754969;6.25;1106718720;16779890688;6810976256;105597712384;445644;0;12978;887512
1740754969;8.632518768310547;1107058688;16779890688;6810976256;105597712384;445644;0;12981;881938
1740754969;6.25;1106726912;16779890688;6810976256;105597712384;419430;0;13020;883616
1740754969;6.25;1106395136;16779890688;6810976256;105597712384;445644;0;13044;887778
1740754969;6.05654764175415;1109884928;16779890688;6810976256;105597712384;419430;0;12858;887712
1740754970;6.25;1109553152;16779890688;6810976256;105597712384;415334;0;13178;896316
1740754970;7.3958335518836975;1110036480;16779890688;6810976256;105597712384;415334;0;13360;899379
