metric;mean;q1;median;q3;std_dev;min;max
network_in;11264.430379746835;41;76;23119;17002.2278351714;0;55975
cpu_usage;88.04644820056387;89.47368621826172;95;100;21.08114254268663;0;100
network_out;8134.025316455698;94;147;16639;12167.918110284916;0;40155
ram_total;492982272;492982272;492982272;492982272;0;492982272;492982272
disk_used;6311830540.962028;6316650496;6316666880;6316732416;15449403.7797812;6211809280;6316732416
disk_write;162574.5316455696;63897;134348;171212;151632.46820134294;0;656179
ram_used;138718609.8227848;135520256;144527360;151420928;26404321.63597399;71647232;182378496
disk_read;12187372.81012658;1717862;16651878;21648179;9015911.941949321;0;22637772
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
