timestamp;cpu_usage;ram_used;ram_total;disk_used;disk_total;disk_read;disk_write;network_in;network_out
1741695640;25.10822629928589;88186880;492728320;5764644864;105597712384;78643;1638;21962;22368
1741695659;0;88428544;492728320;5764644864;105597712384;78643;0;708;762
1741695678;11.111111640930176;88920064;492728320;5764644864;105597712384;78643;0;15139;15422
1741695688;18.1578950881958;96841728;492728320;5764452352;105597712384;6687948;618496;13747;13819
1741695698;21.052631378173828;99848192;492728320;5764452352;105597712384;6734643;135987;24017;24284
1741695717;19.047618865966797;88788992;492728320;5764644864;105597712384;78643;1638;21952;22382
1741695747;11.111111640930176;99442688;492728320;5764452352;105597712384;6401228;104857;14743;13952
1741695767;20.454545974731445;88051712;492728320;5764640768;105597712384;78643;58163;20461;20841
