metric;mean;q1;median;q3;std_dev;min;max
disk_used;17113186110.106508;17113194496;17113223168;17113223168;67034.88034713143;17113034752;17113223168
network_out;14036487.609467449;13565360;16207876;16936993.5;4958759.76223608;205;18786850
ram_used;724950506.7928994;617734144;724480000;837388288;129133264.41829515;472440832;949903360
cpu_usage;13.12587579749744;11.875;12.5;13.633658051490784;3.2179498435498015;3.5714285373687744;25.595238089561462
ram_total;16781892807.95267;16781893632;16781893632;16781893632;2464.0498722220877;16781885440;16781893632
network_in;106187.16568047332;102564.5;123308;127438;36598.3850247829;121;138393
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
disk_read;25068416.337278105;23355391.5;26691174;30539775.5;6523956.581089485;5881856;32296140
disk_write;74033.01775147927;6553;49152;71270;100409.2289723518;0;342425
