metric;mean;q1;median;q3;std_dev;min;max
disk_read;124798.40098522165;0;0;0;684263.7262599391;0;6251315
cpu_usage;46.43074250103802;45;45.23809576034546;47.5;4.683377185288569;2.3809523582458496;95.11904907226563
network_in;70200.26108374384;70176;72051;73510;9402.207399858999;117;77296
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
network_out;9219169.349753698;9289272;9471989;9585390;1247421.1051546556;200;10159870
disk_used;5650252764.689662;5650255872;5650255872;5650255872;22436.138643080427;5650067456;5650259968
disk_write;15396.77635467981;0;0;1638;54332.99411219935;0;358809
ram_total;492728320;492728320;492728320;492728320;0;492728320;492728320
ram_used;106817558.19507377;104407040;107229184;108249088;3809814.357676148;100642816;144089088
