metric;mean;q1;median;q3;std_dev;min;max
disk_used;15240468706.729586;15240478720;15240478720;15240478720;37244.07862502003;15240290304;15240478720
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
network_out;24.37568058076225;0;0;14;68.87850944770987;0;337
cpu_usage;52.67708087703061;39.4078950881958;63.86904859542847;70.78292322158813;25.05145178774116;0;97.5
disk_read;151062488.20508167;114819072;135267123;202402201;65539942.51021307;286720;305032396
ram_used;498602957.82214123;467984384;497807360;532226048;36507331.89960179;351510528;557858816
ram_total;16782892238.286741;16782893056;16782893056;16782893056;2455.6164144425506;16782884864;16782893056
disk_write;66704916.264972754;22118;86810624;107654348;55453814.90693347;0;170079027
network_in;22.435571687840287;0;10;20;43.013977865617214;0;201
