metric;mean;q1;median;q3;std_dev;min;max
ram_used;4213816302.9738746;3336728576;5155151872;5169537024;1418733226.2058372;517849088;5197492224
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
disk_used;37510545943.10686;37510397952;37510479872;37510545408;367216.9941244675;37510098944;37515317248
disk_read;173276989.01543945;129757184;147973324.5;243245875;75799191.759365;5630361;356116070
ram_total;16779889043.762455;16779890688;16779890688;16779890688;3281.170030802989;16779882496;16779890688
disk_write;2586949.5724465568;47513;188415.5;470220;11288075.61556262;0;77298892
network_out;51.12826603325418;0;0;0;237.14085771579082;0;1554
network_in;61.55700712589075;0;10;10;269.30379970659686;0;1669
cpu_usage;29.99759760116738;30.296053111553192;30.983709901571274;31.77624475955963;4.97756164911653;0.8928571939468384;36.977601170539856
