metric;mean;q1;median;q3;std_dev;min;max
cpu_usage;4.39548028821379;0;5;5.263157844543457;4.294152881099127;0;23.809524536132813
ram_total;1020678144;1020678144;1020678144;1020678144;0;1020678144;1020678144
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
disk_write;287769.4572478295;138444;291635;422707;276092.76281983755;0;8133017
network_in;6153.704408817636;3004.5;6353;9277.5;3546.2288937500457;0;12905
network_out;3307.777221108888;1545.5;3284.5;4804.5;2013.0794977506541;0;8306
disk_read;0.683867735470943;0;0;0;23.656288810189196;0;819
disk_used;5461613168.5237055;5460183040;5461164032;5462833152;1573955.2623153694;5459656704;5465083904
ram_used;299977108.26452756;295235584;300023808;309567488;11604622.16319986;262631424;318402560
