metric;mean;q1;median;q3;std_dev;min;max
disk_read;84601.67315573782;0;0;0;594403.6146268875;0;7157350
network_out;9672094.548155718;9703763.5;9949190;10101239.5;1297836.5646548045;387872;10634813
disk_write;13059.20901639345;0;0;5734;57788.95047442738;0;616857
network_in;73641.38729508202;73489;75621.5;77312.5;9655.53682742819;3301;83170
disk_total;105597712384;105597712384;105597712384;105597712384;0;105597712384;105597712384
ram_used;249169920;239618048;247044096;258660352;10328510.938236564;231301120;274571264
ram_total;1020424192;1020424192;1020424192;1020424192;0;1020424192;1020424192
cpu_usage;46.781146881766055;45;47.11779546737671;47.619046688079834;4.3242245848915175;12.5;97.5
disk_used;5764755984.7869;5764648960;5764648960;5764878336;115774.4313817942;5764456448;5764878336
